S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
3,MANOJ KUMAR,Samajwadi Party,102104,270,102374,10.22,5 - Nagina (Uttar Pradesh),5 - Nagina,Uttar Pradesh
4,SURENDRA PAL SINGH,Bahujan Samaj Party,13212,60,13272,1.33,5 - Nagina (Uttar Pradesh),5 - Nagina,Uttar Pradesh
5,JOGENDRA,Independent,4509,9,4518,0.45,5 - Nagina (Uttar Pradesh),5 - Nagina,Uttar Pradesh
6,SANJEEV KUMAR,Independent,2195,6,2201,0.22,5 - Nagina (Uttar Pradesh),5 - Nagina,Uttar Pradesh
7,NOTA,None of the Above,5287,20,5307,0.53,5 - Nagina (Uttar Pradesh),5 - Nagina,Uttar Pradesh
1,YOGENDER CHANDOLIYA,Bharatiya Janata Party,863255,3228,866483,58.26,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
2,UDIT RAJ,Indian National Congress,574451,1183,575634,38.71,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
3,VIJAY BAUDDH,Bahujan Samaj Party,11955,42,11997,0.81,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
4,SURESH KUMAR,Peoples Party of India (Democratic),2869,1,2870,0.19,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
5,SANJAY KUMAR SIWAL,Rashtriya Janshakti Party (Secular),2866,-,2866,0.19,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
6,SUBHASH,Asankhya Samaj Party,2250,-,2250,0.15,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
7,RAJENDER SOOD,Aam Janshakti Party,1468,10,1478,0.1,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
8,PRAVEEN GAUTAM,Navarang Congress Party,1455,1,1456,0.1,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
9,K M KAJAL,Public Political Party,1334,8,1342,0.09,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
10,NARESH KUMAR,Independent,1270,5,1275,0.09,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
11,ADVOCATE SATISH CHANDRA,Ambedkarite Party of India,1236,1,1237,0.08,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
12,PARMENDRA MANJHI,Independent,1102,-,1102,0.07,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
13,ADVOCATE DR. MAHENDER SINGH CHURIYANA,Bahujan Dravida Party,1015,1,1016,0.07,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
14,CHANDER PAL SONI,Independent,891,-,891,0.06,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
15,ADITI,Independent,790,-,790,0.05,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
16,ADV. KRUPAL,Prabuddha Republican Party,673,2,675,0.05,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
17,NAND RAM BAGRI,Voters Party International,638,-,638,0.04,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
18,SHYAM BHARTEEY,Gareeb Aadmi Party,629,3,632,0.04,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
19,HARI KISHAN (MECHANIC),Independent,547,1,548,0.04,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
20,POOJA (BHAGTANI),Bharatiya Jan Jagriti Party,504,5,509,0.03,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
21,NARESH KUMAR,Rashtriya Samaj Paksha,499,1,500,0.03,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
22,PREETI,Saman Adhikar Party,495,8,503,0.03,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
23,SATYA PRAKASH UTTRAKHANDI,Independent,433,1,434,0.03,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
24,KHILKHILAKAR,Bahujan Shoshit Samaj Sangharsh Samta Party,372,1,373,0.03,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
25,PRADEEP KUMAR,Independent,371,-,371,0.02,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
26,PUSHPA NAGRA,Independent,353,-,353,0.02,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
27,NOTA,None of the Above,8917,67,8984,0.6000000000000001,5 - North-West Delhi (NCT OF Delhi),5 - North-West Delhi,NCT OF Delhi
1,KARTICK CHANDRA PAUL,Bharatiya Janata Party,558644,2253,560897,40.99,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
2,KALYANI KRISHNA,All India Trinamool Congress,491150,1550,492700,36.0,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
3,ALI IMRAN RAMZ,Indian National Congress,262694,579,263273,19.24,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
4,DWARIK NATH BARMAN,Independent,8258,6,8264,0.6000000000000001,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
5,MD NAZIR AKHTAR,Independent,6004,1,6005,0.44,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
6,KALIDASH MURMU,Independent,5865,3,5868,0.43,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
7,SWAPAN KUMAR DAS,Bahujan Samaj Party,4106,11,4117,0.3,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
8,RUPAK ROY,Independent,3355,3,3358,0.25,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
9,FAKIRA MD,Independent,3353,2,3355,0.25,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
10,DURGA MURMU,Ambedkarite Party of India,3330,4,3334,0.24,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
11,PALASH CHANDRA MAHATO,Independent,3112,2,3114,0.23,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
12,ALI IMRAN,Independent,1939,7,1946,0.14,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
13,MD ABRAHIM HOQUE,Independent,1761,2,1763,0.13,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
14,SHAHIDUR RAHMAN,North Bengal People’s Party,1458,4,1462,0.11,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
15,SHARANYA DUTTA,Independent,1328,2,1330,0.1,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
16,SANATAN DUTTA,Socialist Unity Centre Of India (COMMUNIST),1256,15,1271,0.09,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
17,TAPAN BARMAN,Jai Prakash Janata Dal,1249,2,1251,0.09,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
18,ANWARUL HOQUE,Independent,1187,3,1190,0.09,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
19,RAMESH CHANDRA SINHA,Bhumiputra United Party,1046,5,1051,0.08,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
20,AL MONOWARA BEGAM,India Manus Party,977,5,982,0.07,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
21,NOTA,None of the Above,1924,16,1940,0.14,5 - Raiganj (West Bengal),5 - Raiganj,West Bengal
1,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,670929,6389,677318,53.36,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
2,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,515902,5734,521636,41.09,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
3,PARMAR RAMESHCHANDRA NANJIBHAI,Bahujan Samaj Party,9850,117,9967,0.79,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
4,SOLANKI CHHAGANBHAI KEVLABHAI,Independent,7539,12,7551,0.59,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
5,VIJAYSINH NAVALSINH CHAUHAN,Independent,6692,29,6721,0.53,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
6,BHAVNABA NARENDRASINH PARMAR,Independent,5365,94,5459,0.43,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
7,ANILKUMAR NIRANJANKUMAR MUNDADA,Log Party,5225,22,5247,0.41,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
8,MUSTAKBHAI JAMALBHAI SANGHANI,Independent,3196,7,3203,0.25,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
9,KATARA VARUNKUMAR KALYANSINH,Gunj Satya Ni Janata Party,2717,56,2773,0.22,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
10,RAKESHSINH MAHOBATSINH ZALA,Bhartiya Jan Parishad,1882,69,1951,0.15,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
11,PANDOR KAUSHIKKUMAR SHANKARBHAI,Independent,1782,45,1827,0.14,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
12,ASHOK L VAGHELA,Independent,1673,15,1688,0.13,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
13,KANUBHAI KHIMJIBHAI GADHAVI,Independent,1467,38,1505,0.12,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
14,THAKOR INDIRABEN JITENDRASINH,Insaniyat Party,1402,34,1436,0.11,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
15,NOTA,None of the Above,20665,411,21076,1.66,5 - Sabarkantha (Gujarat),5 - Sabarkantha,Gujarat
1,DR. LATA WANKHEDE,Bharatiya Janata Party,786160,1819,787979,68.49,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
2,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,316059,698,316757,27.53,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
3,BHAGWATI PRASAD JATAV,Bahujan Samaj Party,16592,44,16636,1.45,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
4,BHEEKAM SINGH KUSHWAHA,Mahanwadi Party,5778,6,5784,0.5,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
5,RAM BHJAN BANSAL,Samata Party,3149,4,3153,0.27,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
6,MOHAMAD AARIF MAKRANI,Independent,2888,-,2888,0.25,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
7,SANGRAM SINGH YADAV,Independent,2819,5,2824,0.25,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
8,DHARMENDRA BANPURIYA,Independent,1621,3,1624,0.14,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
9,TOSHMANI PANTHI (KANNA),Independent,1293,6,1299,0.11,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
10,SURESH BANSAL,Bhartiya Shakti Chetna Party,1147,4,1151,0.1,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
11,LAXMI KUSHWAHA,Pichhara Samaj Party United,947,5,952,0.08,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
12,DR. RAMAVATAR SHARMA,Socialist Unity Centre Of India (COMMUNIST),924,4,928,0.08,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
13,AHIRWAR RAJKUMAR THEKEDAAR,Independent,914,3,917,0.08,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
14,NOTA,None of the Above,7641,16,7657,0.67,5 - SAGAR (Madhya Pradesh),5 - SAGAR,Madhya Pradesh
1,AMRARAM,Communist Party of India (Marxist),645559,13741,659300,50.68,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
2,SUMEDHANAND SARASWATI,Bharatiya Janata Party,574740,11664,586404,45.08,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
3,SURESH PAREEK,Independent,10014,7,10021,0.77,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
4,AMARCHAND,Bahujan Samaj Party,8293,326,8619,0.66,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
5,VISHNU KUMAR NATRAJ,Independent,5796,7,5803,0.45,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
6,RAVINDRA SINGH SHEKHAWAT,Independent,5775,250,6025,0.46,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
7,ASHOK SEHRA,Ambedkarite Party of India,5333,49,5382,0.41,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
8,DHIRENDRA VERMA,Ummeed Party of India,2885,59,2944,0.23,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
9,MAHESH KUMAR,Independent,1962,94,2056,0.16,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
10,BENI PRASAD KAUSHIK (LATA),Rashtriya Sawarn Dal,1720,11,1731,0.13,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
11,RAMESH SHARMA,Bhartiya Party,1516,33,1549,0.12,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
12,VIJENDER MAHARIA,Bharatiya Yuva Jan Ekta Party,1421,30,1451,0.11,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
13,OM PRAKASH,Independent,1182,42,1224,0.09,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
14,BIRBALSINGH,Independent,1034,47,1081,0.08,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
15,NOTA,None of the Above,7081,185,7266,0.56,5 - SIKAR (Rajasthan),5 - SIKAR,Rajasthan
1,DEVESH CHANDRA THAKUR,Janata Dal (United),514940,779,515719,47.14,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
2,ARJUN RAY,Rashtriya Janata Dal,463107,1256,464363,42.45,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
3,SAIQUA NAWAZ AZMAT,Independent,28911,1,28912,2.64,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
4,SHYAM NANDAN KISHOR PRASAD,Independent,11173,15,11188,1.02,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
5,BHOLA SINGH,Bahujan Samaj Party,8773,37,8810,0.81,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
6,UPENDRA SAHANI,Rashtriya Jansambhavna Party,8446,8,8454,0.77,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
7,CHANDRIKA PRASAD,Independent,7109,5,7114,0.65,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
8,VINOD SAH,Independent,4477,4,4481,0.41,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
9,KRISHNA KISHORE,Independent,3280,-,3280,0.3,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
10,MUSHAHID RAZA,Desh Janhit Party,2190,2,2192,0.2,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
11,UMESH KUMAR YADAV,Independent,2126,2,2128,0.19,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
12,RAJENDRA MAHTO,Karpoori Janta Dal,1976,5,1981,0.18,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
13,ANAND KUMAR,Independent,1787,9,1796,0.16,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
14,ABDUL SAMAD,Independent,1439,2,1441,0.13,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
15,NOTA,None of the Above,32102,31,32133,2.94,5 - Sitamarhi (Bihar),5 - Sitamarhi,Bihar
1,T R BAALU,Dravida Munnetra Kazhagam,755671,2940,758611,52.65,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
2,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,270549,1033,271582,18.85,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
3,V N VENUGOPAL,Tamil Maanila Congress (Moopanar),209183,927,210110,14.58,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
4,V RAVICHANDRAN,Naam Tamilar Katchi,139931,302,140233,9.73,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
5,K PRABAKARAN,Bahujan Samaj Party,8115,74,8189,0.5700000000000001,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
6,M S ARUMUGAM,Independent,3695,4,3699,0.26,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
7,V SUDHAVALLI,Aravor Munnetra Kazhagam,3659,35,3694,0.26,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
8,S AMBETHKUMAR,Mahathma Makkal Munnetra Kazhakam,2211,9,2220,0.15,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
9,M ASHOK KUMAR,Independent,1696,8,1704,0.12,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
10,S SIVAKUMAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1349,3,1352,0.09,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
11,AYODHI LAKSHMANAN,Independent,1255,4,1259,0.09,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
12,S CHITTIBABU,Naadaalum Makkal Katchi,1238,3,1241,0.09,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
13,C ARAVIND,Desiya Makkal Sakthi Katchi,959,11,970,0.07,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
14,GOPI DEEPAK,Independent,878,5,883,0.06,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
15,KARTHIK KUMAR P C,Independent,866,1,867,0.06,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
16,J MOHANRAJ,Jebamani Janata,817,5,822,0.06,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
17,DR S PRAVEEN,Independent,791,8,799,0.06,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
18,I MOHAMED YASEEN,Thakkam Katchi,668,1,669,0.05,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
19,K PALANIYAPPAN,Tamizhaga Murpokku Makkal Katchi,613,4,617,0.04,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
20,S PRABHU,Independent,513,1,514,0.04,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
21,P BASKARAN,Independent,493,1,494,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
22,P HARIDAS,Independent,458,2,460,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
23,C A JAYARAMAN,Independent,445,2,447,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
24,G RAMKUMAR,Independent,426,-,426,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
25,N MANIKKAM,Independent,402,1,403,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
26,M PREMKUMAR,Independent,393,1,394,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
27,S MUNIKUMAR,Samaniya Makkal Nala Katchi,393,1,394,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
28,M SARAVANAN,Independent,385,-,385,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
29,A JINNA MOHAMMED,Independent,382,6,388,0.03,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
30,S SIVARAMAN,Independent,340,3,343,0.02,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
31,C PREMKUMAR,Independent,313,3,316,0.02,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
32,NOTA,None of the Above,26294,156,26450,1.84,5 - SRIPERUMBUDUR (Tamil Nadu),5 - SRIPERUMBUDUR,Tamil Nadu
1,SURESH KUMAR SHETKAR,Indian National Congress,523919,4499,528418,42.73,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
2,B. B. PATIL,Bharatiya Janata Party,476023,6207,482230,39.0,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
3,ANILKUMAR GALI,Bharat Rashtra Samithi,171412,666,172078,13.92,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
4,KOTHA BALIJA BASWARAJ,Telangana Praja Shakthi Party,8362,11,8373,0.68,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
5,CHAVAGANI MANI,Alliance of Democratic Reforms Party,6295,14,6309,0.51,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
6,YAKUB SHARIF MD,Independent,5484,5,5489,0.44,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
7,MAHADHEV SWAMI MATAM,Independent,5408,4,5412,0.44,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
8,B. MARUTHI RAO,Independent,4248,4,4252,0.34,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
9,S. RAJU,Independent,3511,3,3514,0.28,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
10,SATYANARAYANA GOUD KOVURI,Independent,2875,1,2876,0.23,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
11,RAMESH. SAJJAPUR.,Independent,2477,2,2479,0.2,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
12,KAMMARI ANANDEESHWAR,Independent,2381,3,2384,0.19,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
13,JAIPAL NAYAK JADAVATH,Independent,2217,51,2268,0.18,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
14,GURRAPU MACHANDER,All India Forward Bloc,1760,9,1769,0.14,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
15,T.D.S. MANI,Dharma Samaj Party,1628,27,1655,0.13,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
16,MOHD SADDAM,Independent,1567,1,1568,0.13,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
17,MALEPU MOHAN REDDY,Pyramid Party of India,1095,7,1102,0.09,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
18,ASHOK TALARI,Independent,831,6,837,0.07,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
19,ROMALA BABU DURGAIAH,India Praja Bandhu Party,601,2,603,0.05,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
20,NOTA,None of the Above,2933,44,2977,0.24,5 - Zahirabad (Telangana),5 - Zahirabad,Telangana
1,PUSHPENDRA SAROJ,Samajwadi Party,509175,612,509787,50.51,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
2,VINOD KUMAR SONKAR,Bharatiya Janata Party,405142,701,405843,40.21,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
3,SHUBH NARAYAN,Bahujan Samaj Party,55797,61,55858,5.53,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
4,PUSHPENDRA KUMAR SAROJ,Independent,5178,6,5184,0.51,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
5,NARENDRA KUMAR,Apna Dal (Kamerawadi),5127,4,5131,0.51,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
6,SANJAY KUMAR,Independent,4631,3,4634,0.46,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
7,RAJENDRA SONKAR URF PANNA BHAIYA,Independent,3421,-,3421,0.34,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
8,PRADEEP KUMAR,Independent,2539,2,2541,0.25,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
9,RAMESHWAR PRASAD,Bhartiya Shakti Chetna Party,2011,2,2013,0.2,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
10,RAM ASREY,Manavtawadi Samaj Party,1948,2,1950,0.19,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
11,NOTA,None of the Above,12958,9,12967,1.28,50 - Kaushambi (Uttar Pradesh),50 - Kaushambi,Uttar Pradesh
1,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
2,AMAR NATH SINGH MAURYA,Samajwadi Party,446596,1672,448268,44.17,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
3,JAGANNATH PAL,Bahujan Samaj Party,82375,211,82586,8.14,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
4,MAHIMA PATEL,Apna Dal (Kamerawadi),4134,28,4162,0.41,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
5,JILA JEET BHARTIY,Bahujan Awam Party,3294,5,3299,0.33,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
6,SUNIL KUMAR PRAJAPATI,Bhagidari Party(P),3040,7,3047,0.3,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
7,ENGG YOGESH KUSHWAHA,Pragatisheel Samaj Party,2768,3,2771,0.27,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
8,AKHILESH TRIPATHI,Independent,2295,3,2298,0.23,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
9,NAFIS AHAMAD,Independent,2145,2,2147,0.21,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
10,DR NEERAJ,Independent,1702,8,1710,0.17,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
11,SANJEEV KUMAR MISHRA,Yuva Vikas Party,1675,4,1679,0.17,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
12,MUSHIR AHMAD SIDDIQUI,Peoples Party of India (Democratic),1505,1,1506,0.15,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
13,SANGEETA YADAV,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1283,8,1291,0.13,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
14,LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,1043,9,1052,0.1,51 - Phulpur (Uttar Pradesh),51 - Phulpur,Uttar Pradesh
